date,username,tweet,location
2023-01-16 06:54:03,ferdy_afs,"@Valosenadya1 @ProfesorSuteki @RamliRizal @ReflyHZ @fadlizon @undip @unpad @UGMYogyakarta Cok, @ganjarpranowo lg ndagel ben ilang isine jenenge ra dsebut mbok e 😂 Cok jancuuuukkkk tenan 🤣🤣",JAWA BARAT
2023-01-16 06:53:16,fajaronline,"Dana Baznas Berpolemik dan Tak Mampu Atasi Banjir, Survei Ganjar Kian Melempem  https://t.co/b8GIZnJABu #BanjirJateng #Baznas #ganjarpranowo #PDIP",JAWA BARAT
2023-01-16 06:49:57,JatengTV,"(06) PT Perorangan boleh menggunakan alamat rumah sebagai lokasi usaha, selama lokasi tersebut sesuai dengan Rencana Detail Tata Ruang Daerah (RDTL). #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024  https://t.co/HRqCfZUnue",JAWA BARAT
2023-01-16 06:44:37,g24news_tv,"Tiga tokoh teratas yang muncul dalam Musra sebagai calon presiden adalah Airlangga Hartarto, Ganjar Pranowo dan Prabowo Subianto. Sedangkan untuk calon wakil presiden adalah Mahfud MD, Erick Tohir, Moeldoko dan Sandiaga Uno. #pilpres2024 #Golkar #G24News    https://t.co/7IE2nzMJ6F",JAWA BARAT
2023-01-16 06:42:41,__RismaWidiono_,"Sahabat Ganjar menggelar kegiatan sejuta doa satu harapan untuk @ganjarpranowo di Alun-Alun Desa Jagapura, Kecamatan Gresik, Kabupaten Cirebon, Provinsi Jawa Barat.  #SahabatGanjar    https://t.co/k71HHSqM9D  https://t.co/O5ndXNcxxj",JAWA BARAT
2023-01-16 06:41:21,ontoseno1966,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Saya yakin kejadian tsb by design...kenapa sambil bawa2 bendera parpol?,JAWA BARAT
2023-01-16 06:38:54,progorejosari,"@yoyokantaka @jalinmerapi Wilayahnya @kratonjogja @kabarsleman,   Berarti semua lereng merapi kejadiannya spt itu ya, daerah keningar magelang juga, wil nya @ganjarpranowo",JAWA BARAT
2023-01-16 06:31:03,DulGelenk,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo @DivHumas_Polri  @kompascom  @KompasTV  @Metro_TV  @narasitv  @tvOneNews  @OfficialiNewsTV  @tribunnews  @NTMCLantasPolri,JAWA BARAT
2023-01-16 06:28:47,039u07,@ir_dyx @DVantika @Irwan2yah1 @MochamadRofiq8 @DivHumas_Polri @ganjarpranowo wkwkwkk perkara spasi si mas nya jd diserang 🤣,JAWA BARAT
2023-01-16 06:27:43,enakbeefsteak,@Irwan2yah1 @DivHumas_Polri @ganjarpranowo Yanggg @beefburggerr,JAWA BARAT
2023-01-16 06:24:42,Ivanasekali,ngga kepikiran lagu apa2 sibuk ngungsiin barang2 krn pasti ujan lebat bentar outputnya lgsg banjir halo pak @KemenPU @ganjarpranowo 🙏🏻🙏🏻,JAWA BARAT
2023-01-16 06:14:56,krissaputro,"@MochamadRofiq8 @Irwan2yah1 @DivHumas_Polri @ganjarpranowo komen terbaik nih, @Mu_aL88",JAWA BARAT
